post_id,author_entity_id,timestamp,platform,text
POST_026,ENT_024,2026-05-30 02:57:00,Chatgram,Package arrived at Devgarh warehouse. Awaiting signal from Advik to dispatch.
POST_027,ENT_014,2026-04-09 11:16:00,X-Feed,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_028,ENT_026,2026-04-20 23:44:00,InstaNet,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_029,ENT_019,2026-06-11 05:49:00,InstaNet,Cash collected from Devgarh outlet. Heading to safehouse.
POST_030,ENT_019,2026-05-18 02:13:00,Chatgram,Meeting scheduled at Shivnagar tonight with team. Bring vehicle MH-12-VU-2612.
POST_031,ENT_009,2026-04-14 09:40:00,Chatgram,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_032,ENT_022,2026-04-16 01:21:00,InstaNet,Big consignment moving across highway checkpoint at 02:00.
POST_033,ENT_018,2026-06-16 05:20:00,DarkPost,Big consignment moving across highway checkpoint at 02:00.
POST_034,ENT_006,2026-05-19 21:22:00,Chatgram,Big consignment moving across highway checkpoint at 02:00.
POST_035,ENT_012,2026-04-15 16:31:00,X-Feed,Cash collected from Devgarh outlet. Heading to safehouse.
POST_036,ENT_025,2026-05-13 13:20:00,InstaNet,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_037,ENT_027,2026-05-16 18:52:00,X-Feed,Cash collected from Devgarh outlet. Heading to safehouse.
POST_038,ENT_024,2026-04-20 17:00:00,DarkPost,Big consignment moving across highway checkpoint at 02:00.
POST_039,ENT_027,2026-06-18 05:56:00,Chatgram,Transfer settled on UPI. Confirm receipt for consignment #8821.
POST_040,ENT_071,2026-06-13 14:26:00,DarkPost,Big consignment moving across highway checkpoint at 02:00.
POST_041,ENT_006,2026-06-21 03:33:00,DarkPost,Meeting scheduled at Indrapuri tonight with team. Bring vehicle DL-08-TU-3803.
POST_042,ENT_020,2026-06-08 04:05:00,InstaNet,Big consignment moving across highway checkpoint at 02:00.
POST_043,ENT_025,2026-05-30 09:11:00,X-Feed,Cash collected from Devgarh outlet. Heading to safehouse.
POST_044,ENT_021,2026-07-10 16:02:00,DarkPost,Meeting scheduled at Anandpur tonight with team. Bring vehicle MH-12-CY-4872.
POST_045,ENT_058,2026-06-12 18:55:00,Chatgram,Big consignment moving across highway checkpoint at 02:00.
POST_046,ENT_012,2026-04-04 11:14:00,X-Feed,Meeting scheduled at Shivnagar tonight with team. Bring vehicle TS-09-QY-3927.
POST_047,ENT_023,2026-05-10 14:35:00,DarkPost,Package arrived at Rajnagar warehouse. Awaiting signal from Advik to dispatch.
POST_048,ENT_036,2026-07-11 07:00:00,X-Feed,Package arrived at Vidyanagar warehouse. Awaiting signal from Advik to dispatch.
POST_049,ENT_007,2026-04-29 22:03:00,X-Feed,Meeting scheduled at Vikramnagar tonight with team. Bring vehicle MH-12-AB-1234.
POST_050,ENT_019,2026-05-16 23:39:00,X-Feed,Meeting scheduled at Shivnagar tonight with team. Bring vehicle MH-12-VU-2612.
